sequence_index,segment_uid,clip_id,video_id,activity,label,step_id,behavior,variation,original_length,padded_frames
0,train_0000_V002_1_0,V002_1_0,V002,RETRIEVE_COTTON,0,1,correct,none,16,16
1,train_0001_V002_2_0,V002_2_0,V002,PLACE_COTTON,1,2,correct,none,22,10
2,train_0002_V002_3_0,V002_3_0,V002,HANDLE_SEEDS,2,3,correct,none,22,10
3,train_0003_V002_4_0,V002_4_0,V002,PLACE_SEEDS,3,4,correct,none,32,0
4,train_0004_V002_4_1,V002_4_1,V002,PLACE_SEEDS,3,4,correct,none,32,0
5,train_0005_V002_5_0,V002_5_0,V002,TAKE_DROPPER,4,5,correct,none,26,6
6,train_0006_V002_6_0,V002_6_0,V002,ADD_WATER,5,6,correct,none,32,0
7,train_0007_V002_6_1,V002_6_1,V002,ADD_WATER,5,6,correct,none,32,0
8,train_0008_V002_6_2,V002_6_2,V002,ADD_WATER,5,6,correct,none,32,0
9,train_0009_V002_6_3,V002_6_3,V002,ADD_WATER,5,6,correct,none,32,0
10,train_0010_V002_6_4,V002_6_4,V002,ADD_WATER,5,6,correct,none,32,0
11,train_0011_V002_6_5,V002_6_5,V002,ADD_WATER,5,6,correct,none,32,0
12,train_0012_V002_6_6,V002_6_6,V002,ADD_WATER,5,6,correct,none,32,0
13,train_0013_V002_6_7,V002_6_7,V002,ADD_WATER,5,6,correct,none,32,0
14,train_0014_V002_6_8,V002_6_8,V002,ADD_WATER,5,6,correct,none,32,0
15,train_0015_V002_6_9,V002_6_9,V002,ADD_WATER,5,6,correct,none,32,0
16,train_0016_V003_1_0,V003_1_0,V003,RETRIEVE_COTTON,0,1,correct,none,13,19
17,train_0017_V003_2_0,V003_2_0,V003,PLACE_COTTON,1,2,correct,none,28,4
18,train_0018_V003_3_0,V003_3_0,V003,HANDLE_SEEDS,2,3,correct,none,19,13
19,train_0019_V003_4_0,V003_4_0,V003,PLACE_SEEDS,3,4,correct,none,32,0
20,train_0020_V003_4_1,V003_4_1,V003,PLACE_SEEDS,3,4,correct,none,32,0
21,train_0021_V003_4_2,V003_4_2,V003,PLACE_SEEDS,3,4,correct,none,32,0
22,train_0022_V003_4_3,V003_4_3,V003,PLACE_SEEDS,3,4,correct,none,32,0
23,train_0023_V003_5_0,V003_5_0,V003,TAKE_DROPPER,4,5,correct,none,28,4
24,train_0024_V003_6_0,V003_6_0,V003,ADD_WATER,5,6,correct,none,32,0
25,train_0025_V003_6_1,V003_6_1,V003,ADD_WATER,5,6,correct,none,32,0
26,train_0026_V003_6_2,V003_6_2,V003,ADD_WATER,5,6,correct,none,32,0
27,train_0027_V003_6_3,V003_6_3,V003,ADD_WATER,5,6,correct,none,32,0
28,train_0028_V003_6_4,V003_6_4,V003,ADD_WATER,5,6,correct,none,32,0
29,train_0029_V003_6_5,V003_6_5,V003,ADD_WATER,5,6,correct,none,32,0
30,train_0030_V003_6_6,V003_6_6,V003,ADD_WATER,5,6,correct,none,32,0
31,train_0031_V003_6_7,V003_6_7,V003,ADD_WATER,5,6,correct,none,32,0
32,train_0032_V003_6_8,V003_6_8,V003,ADD_WATER,5,6,correct,none,32,0
33,train_0033_V003_6_9,V003_6_9,V003,ADD_WATER,5,6,correct,none,32,0
34,train_0034_V003_6_10,V003_6_10,V003,ADD_WATER,5,6,correct,none,32,0
35,train_0035_V004_1_0,V004_1_0,V004,RETRIEVE_COTTON,0,1,correct,none,13,19
36,train_0036_V004_2_0,V004_2_0,V004,PLACE_COTTON,1,2,correct,none,32,0
37,train_0037_V004_3_0,V004_3_0,V004,HANDLE_SEEDS,2,3,correct,none,19,13
38,train_0038_V004_4_0,V004_4_0,V004,PLACE_SEEDS,3,4,correct,none,32,0
39,train_0039_V004_4_1,V004_4_1,V004,PLACE_SEEDS,3,4,correct,none,32,0
40,train_0040_V004_4_2,V004_4_2,V004,PLACE_SEEDS,3,4,correct,none,32,0
41,train_0041_V004_4_3,V004_4_3,V004,PLACE_SEEDS,3,4,correct,none,32,0
42,train_0042_V004_4_4,V004_4_4,V004,PLACE_SEEDS,3,4,correct,none,32,0
43,train_0043_V004_4_5,V004_4_5,V004,PLACE_SEEDS,3,4,correct,none,32,0
44,train_0044_V004_5_0,V004_5_0,V004,TAKE_DROPPER,4,5,correct,none,31,1
45,train_0045_V004_6_0,V004_6_0,V004,ADD_WATER,5,6,correct,none,32,0
46,train_0046_V004_6_1,V004_6_1,V004,ADD_WATER,5,6,correct,none,32,0
47,train_0047_V004_6_2,V004_6_2,V004,ADD_WATER,5,6,correct,none,32,0
48,train_0048_V004_6_3,V004_6_3,V004,ADD_WATER,5,6,correct,none,32,0
49,train_0049_V004_6_4,V004_6_4,V004,ADD_WATER,5,6,correct,none,32,0
50,train_0050_V004_6_5,V004_6_5,V004,ADD_WATER,5,6,correct,none,32,0
51,train_0051_V006_1_0,V006_1_0,V006,RETRIEVE_COTTON,0,1,correct,none,16,16
52,train_0052_V006_2_0,V006_2_0,V006,PLACE_COTTON,1,2,correct,none,31,1
53,train_0053_V006_3_0,V006_3_0,V006,HANDLE_SEEDS,2,3,correct,none,25,7
